major,course,related
Autobody/Collision and Repair Technology/Technician,"[u'Automotive Painting', u'Estimates', u'Management', u'Repair Procedures', u'Structural Analysis', u'Welding']","[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Alternative Fuel Vehicle Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Engine Machinist', u'High Performance and Custom Engine Technician/Mechanic', u'Marine Maintenance/Fitter and Ship Repair Technology/Technician', u'Medium/Heavy Vehicle and Truck Technology/Technician', u'Motorcycle Maintenance and Repair Technology/Technician', u'Recreation Vehicle (RV) Service Technician', u'Small Engine Mechanics and Repair Technology/Technician', u'Vehicle Emissions Inspection and Maintenance Technology/Technician', u'Vehicle Maintenance and Repair Technologies']"
Automobile/Automotive Mechanics Technology/Technician,"[u'Automotive Emissions', u'Diesel', u'Driveability', u'Engine Diagnosis', u'Suspension']","[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Small Engine Mechanics and Repair Technology/Technician']"
Avionics Maintenance Technology/Technician,"[u'Algebra', u'Applied Sciences', u'English', u'Physics']","[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Small Engine Mechanics and Repair Technology/Technician']"
Bicycle Mechanics and Repair Technology/Technician,"[u'Applied Sciences', u'Management']","[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Small Engine Mechanics and Repair Technology/Technician']"
Diesel Mechanics Technology/Technician,"[u'Air Conditioning', u'Brakes', u'Electronics', u'Engine Performance', u'Engine Repair', u'Steering', u'Suspension.']","[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Small Engine Mechanics and Repair Technology/Technician']"
Engine Machinist,"[u'Engine Repair', u'Machining', u'Technical Mathematics']","[u'Alternative Fuel Vehicle Technology/Technician', u'Marine Maintenance/Fitter and Ship Repair Technology/Technician', u'Medium/Heavy Vehicle and Truck Technology/Technician']"
High Performance and Custom Engine Technician/Mechanic,"[u'Automatic Transmissions', u'Brake Systems', u'Electronics', u'Engine Performance', u'Manual Drive Trains', u'Steering', u'Suspension', u'Word Processing']","[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Alternative Fuel Vehicle Technology/Technician', u'Autobody/Collision and Repair Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician', u'Engine Machinist', u'Marine Maintenance/Fitter and Ship Repair Technology/Technician', u'Medium/Heavy Vehicle and Truck Technology/Technician', u'Motorcycle Maintenance and Repair Technology/Technician', u'Recreation Vehicle (RV) Service Technician', u'Small Engine Mechanics and Repair Technology/Technician', u'Vehicle Emissions Inspection and Maintenance Technology/Technician', u'Vehicle Maintenance and Repair Technologies']"
Marine Maintenance/Fitter and Ship Repair Technology/Technician,"[u'Air Conditioning Heating', u'Electrical', u'Fiberglass', u'Gelcoat Repair', u'Plumbing']","[u'Alternative Fuel Vehicle Technology/Technician', u'Engine Machinist', u'Medium/Heavy Vehicle and Truck Technology/Technician']"
Medium/Heavy Vehicle and Truck Technology/Technician,[],"[u'Alternative Fuel Vehicle Technology/Technician', u'Engine Machinist', u'Marine Maintenance/Fitter and Ship Repair Technology/Technician']"
Motorcycle Maintenance and Repair Technology/Technician,[],[u'Vehicle Emissions Inspection and Maintenance Technology/Technician']
Recreation Vehicle (RV) Service Technician,[],"[u'Leatherworking and Upholstery', u'Precision Metal Working', u'Precision Production', u'Shoe, Boot and Leather Repair', u'Upholstery/Upholsterer']"
Small Engine Mechanics and Repair Technology/Technician,[],"[u'Aircraft Powerplant Technology/Technician', u'Airframe Mechanics and Aircraft Maintenance Technology/Technician', u'Automobile/Automotive Mechanics Technology/Technician', u'Avionics Maintenance Technology/Technician', u'Bicycle Mechanics and Repair Technology/Technician', u'Diesel Mechanics Technology/Technician']"
Vehicle Emissions Inspection and Maintenance Technology/Technician,[],[u'Motorcycle Maintenance and Repair Technology/Technician']
"Command & Control (C3, C4I) Systems and Operations","[u'Applied Mathematics', u'Information Technology', u'Statistics']","[u'Information Operations/Joint Information Operations', u'Information/Psychological Warfare and Military Media Relations', u'Signal/Geospatial Intelligence']"
Cyber/Electronic Operations and Warfare,"[u'Computer Networks', u'Computer Programming', u'Computer Science', u'Cryptography', u'Cyberterrorism', u'Law', u'Software Applications']","[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Combat Systems Engineering', u'Directed Energy Systems', u'Engineering Acoustics', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Low-Observables and Stealth Technology', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Operational Oceanography', u'Radar Communications and Systems Technology', u'Space Systems Operations', u'Undersea Warfare']"
Information Operations/Joint Information Operations,"[u'Computer Networks', u'Computer Programming', u'Data Mining', u'Database Systems', u'Supply Chain Management', u'Systems Analysis']","[u'Command & Control (C3, C4I) Systems and Operations', u'Information/Psychological Warfare and Military Media Relations', u'Signal/Geospatial Intelligence']"
Information/Psychological Warfare and Military Media Relations,"[u'Computer Applications', u'Computer Networks', u'Computer Programming', u'Information Management', u'Military Strategy', u'Psychology', u'Web Design']","[u'Command & Control (C3, C4I) Systems and Operations', u'Information Operations/Joint Information Operations', u'Signal/Geospatial Intelligence']"
Intelligence,"[u'Anthropology', u'Biology', u'Computer Science', u'English', u'Mathemathics', u'Philosophy', u'Statistics ']","[u'Animation, Interactive Technology, Video Graphics and Special Effects', u'Computer and Information Sciences and Support Services', u'Computer Typography and Composition Equipment Operator', u'Graphic and Printing Equipment Operator, General Production', u'Graphic Communications', u'Information Technology', u'Platemaker/Imager', u'Prepress/Desktop Publishing and Digital Imaging Design', u'Printing Management', u'Printing Press Operator']"
Signal/Geospatial Intelligence,[],"[u'Command & Control (C3, C4I) Systems and Operations', u'Information Operations/Joint Information Operations', u'Information/Psychological Warfare and Military Media Relations']"
Strategic Intelligence,[],"[u'Industry Studies', u'Intelligence, Command Control and Information Operations', u'Military Economics and Management', u'Military Installation Management', u'Military Technologies and Applied Sciences', u'National Resource Strategy and Policy', u'Weapons of Mass Destruction']"
Combat Systems Engineering,"[u'CAD', u'Computer Programming', u'Engineering', u'Management']","[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Cyber/Electronic Operations and Warfare', u'Directed Energy Systems', u'Engineering Acoustics', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Low-Observables and Stealth Technology', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Operational Oceanography', u'Radar Communications and Systems Technology', u'Space Systems Operations', u'Undersea Warfare']"
Directed Energy Systems,"[u'Chemistry', u'Communication', u'Laser Imaging', u'Laser Modeling', u'Microwaves', u'Photonics', u'Spectroscopy']","[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Combat Systems Engineering', u'Cyber/Electronic Operations and Warfare', u'Engineering Acoustics', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Low-Observables and Stealth Technology', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Operational Oceanography', u'Radar Communications and Systems Technology', u'Space Systems Operations', u'Undersea Warfare']"
Engineering Acoustics,"[u'Aerodynamic Noise', u'Audio Engineering', u'Electroacoustics', u'Noise Control', u'Noise Reduction', u'Ocean Acoustics', u'Psychoacoustics']","[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Combat Systems Engineering', u'Cyber/Electronic Operations and Warfare', u'Directed Energy Systems', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Low-Observables and Stealth Technology', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Operational Oceanography', u'Radar Communications and Systems Technology', u'Space Systems Operations', u'Undersea Warfare']"
Low-Observables and Stealth Technology,"[u'Acoustics', u'Electromagnetics', u'Radar Analysis']","[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Combat Systems Engineering', u'Cyber/Electronic Operations and Warfare', u'Directed Energy Systems', u'Engineering Acoustics', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Operational Oceanography', u'Radar Communications and Systems Technology', u'Space Systems Operations', u'Undersea Warfare']"
Operational Oceanography,[],"[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Combat Systems Engineering', u'Cyber/Electronic Operations and Warfare', u'Directed Energy Systems', u'Engineering Acoustics', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Low-Observables and Stealth Technology', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Radar Communications and Systems Technology', u'Space Systems Operations', u'Undersea Warfare']"
Space Systems Operations,[],"[u'Aerospace Ground Equipment Technology', u'Air and Space Operations Technology', u'Aircraft Armament Systems Technology', u'Combat Systems Engineering', u'Cyber/Electronic Operations and Warfare', u'Directed Energy Systems', u'Engineering Acoustics', u'Explosive Ordinance/Bomb Disposal', u'Joint Command/Task Force (C3, C4I) Systems', u'Low-Observables and Stealth Technology', u'Military Applied Sciences', u'Military Information Systems Technology', u'Military Systems and Maintenance Technology', u'Missile and Space Systems Technology', u'Munitions Systems/Ordinance Technology', u'Operational Oceanography', u'Radar Communications and Systems Technology', u'Undersea Warfare']"
